device,strategy,candidate_id,family,policy_label,n_runs,renewal_annual_cost,median_annual_cost,p90_annual_cost,median_lifetime_days,p10_lifetime_days,p90_lifetime_days,right_censored_share,eol_within_2y_probability,medium_maintenances_per_year,major_maintenances_per_year,mean_simulated_permeability,mean_annual_below_threshold_days,label,medium_gap,major_gap,medium_between_major,medium_trigger,major_trigger,fouling_trigger,reserve_threshold,min_gap,max_gap,damage_share
A4,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,69.86012155537256,70.81143237106839,89.41000055300559,2006.0,1616.5,2736.1,0.0,0.0,5.63938054156533,0.040218837970853516,70.6060732158417,18.96,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.4
A5,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,350.2856132681923,359.3161458606064,435.10952337803553,338.0,278.6,446.1,0.0,1.0,3.433251907088369,2.2436144681580528,36.04519351154248,1.0,,,,,,,,,,,0.4
A5,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,204.98145678595543,206.9228992413927,259.40068306010926,575.0,479.3,731.4000000000001,0.0,0.89,6.671176569885213,0.0,46.14589917942257,1.58,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.4
A6,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,130.9821483665284,133.97826813239118,189.65476114475416,1134.0,711.0,1638.3,0.0,0.11,3.8815090329436774,2.119178722018443,55.825176145905615,14.69,,,,,,,,,,,0.4
A6,推荐混合方案,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,100,90.27222805355726,91.14402675276753,108.27494006568664,1488.0,1258.6,2005.0,0.0,0.0,6.517479071196334,0.04909148511302834,58.5446093884945,20.89,堵塞损失≥20触发，维护后储备阈值50，冷却21日,,,4.0,,,20.0,50.0,21.0,150.0,0.4
A7,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,146.34281715912905,143.21952078394622,280.5511735727591,956.0,430.5,1284.9,0.0,0.34,5.390224558516224,0.9609864766833768,46.78698546387415,32.18,,,,,,,,,,,0.4
A7,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,123.45890582116355,125.08735201168139,154.0161164912095,1145.0,895.0,1456.7000000000003,0.0,0.01,9.693425354928337,0.12994697252058415,50.49550213488621,21.01,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.4
A8,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,293.7212124510231,305.65869115164,399.06651348895724,391.0,294.0,530.6,0.0,0.99,5.150214047308085,1.1042482948773766,39.01866472133,4.38,,,,,,,,,,,0.4
A8,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,238.88695606574888,239.76456967915206,293.9306590333474,519.0,415.9,643.5,0.0,0.99,9.81345581785592,0.041789024064680984,45.06458896936579,1.16,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.4
A9,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,78.12208102467147,80.95222520973624,238.16429387307534,2046.0,515.3,3868.8,0.0,0.22,5.549992278462056,0.8495060555576353,53.440185570960836,27.91,,,,,,,,,,,0.4
A9,推荐混合方案,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,100,56.50437848189414,52.50215042102549,88.27762082705166,3482.0,2467.9,4589.0,0.0,0.0,5.930649373259052,0.5765320334261838,55.22494949806716,46.46,堵塞损失≥20触发，维护后储备阈值50，冷却35日,,,4.0,,,20.0,50.0,35.0,150.0,0.4
A10,当前固定方案,BASELINE,当前固定方案,按历史固定维护规律继续,100,457.34101302123696,462.8447458621541,520.8737982062781,255.0,225.0,304.1,0.0,1.0,4.6710781274221045,1.5570260424740348,35.41816119571682,1.0,,,,,,,,,,,0.4
A10,推荐混合方案,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,100,387.1798029154138,390.56435643564356,440.0413661995899,303.0,265.9,351.20000000000005,0.0,1.0,9.68158419401229,0.0,36.4265358839687,1.0,堵塞损失≥10触发，维护后储备阈值50，冷却35日,,,4.0,,,10.0,50.0,35.0,150.0,0.4
