pre_observations,pre_slope_per_day,naive_gain_3d,counterfactual_gain_3d,effect_day7,effect_day14,effect_day30,retention_day30,event_id,device,event_date,maintenance_type
21,-0.3697852325161394,,,9.080997708461558,9.638294416444529,11.758714189083001,,39,A3,2024-09-30,中维护
21,-0.2948328557404404,21.915769689254788,22.915375904373807,22.246004060518565,21.6925727028508,20.576299145193317,0.8979254466982567,40,A3,2024-11-30,中维护
20,-0.39317141626035934,24.421986170808083,26.91519953271907,25.00086022757538,23.477367358712613,20.757917253525846,0.77123400955255,41,A3,2025-01-17,中维护
21,-0.5464931884870949,16.22344332515371,18.66027332611137,19.805181726624806,21.48023702198053,24.439535160697943,1.3097093881524038,42,A3,2025-03-05,中维护
21,-0.3683298240286036,22.00593511168472,23.717816170441324,23.814311771587676,23.874866050446876,23.811259225871503,1.0039397832734125,43,A3,2025-05-06,中维护
21,-0.31613494293836375,9.128692674497643,10.316661561756453,10.859239870498666,11.244695130045127,13.197727167007152,1.2792633632502515,44,A3,2025-07-02,大维护
21,-0.4228169300684032,29.767219163043862,31.986214869002783,32.661415444532395,33.176970997204705,36.172986768526634,1.1308930086498346,45,A3,2025-09-15,中维护
21,-0.3429993447647911,18.642738125757788,20.693098058093597,20.653028851769243,19.695466872885966,17.463752791963884,0.8439409479883737,46,A3,2025-11-17,大维护
21,-0.5244202905330957,24.808917102770465,27.40173993039836,26.409749042158097,23.93679988647986,19.460183309940753,0.7101805709918598,47,A3,2026-01-20,中维护
21,-0.7843679564222066,13.40683369605145,17.16015957315376,19.016736838706088,22.236872030598406,29.49235747564076,1.7186528685770572,48,A3,2026-02-24,中维护
21,-0.3790093809820473,11.596093071708964,12.935220700043567,12.7901689048809,,,,49,A3,2026-04-05,中维护
14,-0.5509128276025365,44.25113278999707,46.332769948001214,47.7429095988729,47.92188631301494,50.66967484125962,1.0936034020440752,50,A4,2024-05-28,中维护
16,-0.33083439407116655,27.19573117278651,27.231851647854374,26.929023408790762,27.56032199957611,27.802522228493785,1.0209559962362815,51,A4,2024-07-16,中维护
21,-0.6677301945404694,22.71248156995358,24.818718247849457,26.219409745371383,30.07513903374475,34.30683340701427,1.3822967433053057,52,A4,2024-09-21,中维护
21,-0.39358942066084457,16.489786248645643,17.57659580440209,18.64514601969151,19.63030822257403,22.611120904481307,1.2864334570871974,53,A4,2024-11-20,中维护
