device,date,predicted_P_mean,predicted_P_std,predicted_P_q05,predicted_P_q95,actual_P,C_mean,F_mean
A8,2025-11-29,68.19616733830514,5.982472466465749,59.26180813802251,78.50642480083744,76.7592230102196,90.26317660587273,13.852983726974566
A8,2025-11-30,66.51876179936849,6.445891225036929,57.3609266507308,77.05651163573123,75.5176440232784,90.21402733924738,14.143463882955048
A8,2025-12-01,65.92091398905396,6.296822127836952,57.41680942416842,77.64091038878504,,90.16314554464121,14.430631550227597
A8,2025-12-02,64.05092006843019,5.508972917636101,55.46756946187097,72.3631882539889,,90.11257582353386,14.71913226499085
A8,2025-12-03,65.11418419943234,5.358842648641411,57.36212295344961,74.26472251123292,,90.06175264000622,15.020303369092003
A8,2025-12-04,64.00497249668388,6.009796546601299,55.76344931759976,74.88250676397251,,90.0095051141562,15.333446737277924
A8,2025-12-05,64.18121224092383,5.837962555092195,55.249300151155104,73.5542380870319,75.2616893669644,89.95816979816152,15.617526986807661
A8,2025-12-06,63.69099945557716,6.016534723616762,53.467323772887646,72.96041662741978,75.1264996825622,89.90485231490804,15.910429125896478
A8,2025-12-07,63.13558153407297,5.72642140491747,52.62674706325844,72.6772242148933,74.2899588162313,89.85596826915507,16.192419491147987
A8,2025-12-08,62.22317867860572,5.5247789780526135,53.94151086072602,70.6689388351819,73.89100945604216,89.80723239889375,16.49314879644183
A8,2025-12-09,60.62604443285759,6.194289299922388,49.919823255174556,71.26862240976922,73.39228274214139,89.75633901179935,16.790333426107644
A8,2025-12-10,61.566204591751394,5.883116494498309,52.612440895073554,71.0097807359382,72.3926545759607,89.71062430281171,17.09817063960164
A8,2025-12-11,60.95235396754865,6.265723974494705,49.19911876965595,70.10981826295343,71.57683609177354,89.65688991548532,17.398499164967507
A8,2025-12-12,60.00494435811336,5.875231435784426,50.9056348931177,68.62598839908689,70.654578286132,89.60788968881971,17.706520585367134
A8,2025-12-13,59.007996412420006,5.460798138290727,50.52125404228468,67.77556208027337,70.32312841867434,89.55612266559568,18.00853182797467
A8,2025-12-14,58.36814804608331,5.700138409038746,50.10018108004669,66.71745286312277,69.8754209608835,89.50584134403351,18.30551539168963
A8,2025-12-15,58.4170952781398,5.306728047349202,50.38952856970445,65.84738735557728,69.46444268563275,89.45791878500961,18.611041463557534
A8,2025-12-16,58.32527654103468,5.979803445774843,50.1573313125159,68.49368562791253,69.10946761085376,89.40756910077094,18.911237244665127
A8,2025-12-17,57.87692691447426,5.257451242418634,50.58093685794175,65.66013153727566,68.4597281420219,89.35566508454647,19.205264375527122
A8,2025-12-18,57.59946409459515,5.499501166398608,49.52650532542492,66.38881331078703,67.86120891920126,89.30573653607964,19.483971716904893
A8,2025-12-19,57.9222215576475,5.818023362467591,47.957448509629415,66.90076945169747,67.2477364558742,89.25346504499166,19.772751089604352
A8,2025-12-20,56.5900420827141,6.085725755564779,46.888500663010824,66.57110404130299,66.8415361291417,89.2028939364301,20.06179720893313
A8,2025-12-21,55.87539383539977,6.748171968263563,45.31274640899277,66.7307303607387,66.8905629051444,89.1553748931574,20.340536094552863
A8,2025-12-22,54.867108856222046,5.562681167942938,46.7988850716447,63.53268428162086,66.4626288124769,89.10311460235742,20.653140117555157
A8,2025-12-23,54.33995527190505,6.358193793532991,44.35637050259645,64.63559961145508,65.6747302757916,89.0531725908814,20.950413340639237
A8,2025-12-24,53.45208184988697,6.348446766535461,42.758991477399604,63.36383993153311,65.2330157319852,88.99985174701845,21.234328965122035
A8,2025-12-25,53.46867839435605,5.573107322187108,43.736462752984025,62.69900780814594,64.97831910664891,88.94776704078457,21.515091819397036
A8,2025-12-26,52.417262934227494,5.86543313835595,42.9064533974435,62.43751466642603,64.18863421101055,88.89127814186602,21.81631816734392
A8,2025-12-27,53.69846623374977,5.7840580698671324,42.14531463019875,63.101368469268834,63.8824642486331,88.8407060752132,22.102823229434293
A8,2025-12-28,52.87261150300829,6.135529574751706,41.92701288342255,62.341613246429574,,87.99982508933351,7.420895995081832
A8,2025-12-29,65.99201205963766,6.4776660862512925,54.863980494157104,75.19952827984427,74.1889797537193,87.9493072287556,7.7027924478973535
A8,2025-12-30,65.9696360687015,5.803798200348207,57.04523673142513,76.42926239806334,73.6773204845521,87.89950354541389,7.991092020332556
A8,2025-12-31,66.42902741985372,5.13398748486371,59.014160414324664,76.48327311787509,73.1293360949628,87.84950980740201,8.278926023152327
A8,2026-01-01,66.47414614338255,6.506975863566932,55.39385518084169,77.75794308373003,72.600353526508,87.79169900591343,8.584054976140504
A8,2026-01-02,64.93764911717912,5.594189664549424,55.7392046303591,73.01208078162435,71.881580902403,87.73891163701128,8.867964604918214
A8,2026-01-03,64.80103799907295,5.901977796509484,55.30587526036912,72.93377544823178,71.32076985536776,87.69062864469977,9.157927076798545
A8,2026-01-04,64.42107153850112,5.700636124180232,55.953780230933184,73.1520686119081,71.01237373166356,87.64087017159441,9.450802023516788
A8,2026-01-05,62.34677819155035,6.0309062754772,51.664455523884655,70.81707577294068,70.150950586826,87.59062921653815,9.734381891458154
A8,2026-01-06,63.10203437980641,6.633484130949916,52.87183046156288,72.05827397050193,70.1171325321591,87.53874189117577,10.026643977911089
A8,2026-01-07,62.41930196100257,5.665452947026731,52.79950019082804,70.75049551895569,69.12139622450371,87.4836133481776,10.32825585864908
A8,2026-01-08,61.818745289776395,6.162796523785214,51.863678594480895,71.12470116695837,68.5858232134149,87.42835051749871,10.621946652665752
A8,2026-01-09,61.87194053879032,5.851521741567737,51.62760705946188,70.27817636798117,67.2527361697673,87.37758968980825,10.922085911928809
A8,2026-01-10,61.0514988818049,5.872472538756721,50.74107126820137,70.78510805970512,66.4305374769979,87.32206841199542,11.216785015754532
