scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost
purchase_maintenance_1.10_0.60,购置价×维护价,1.1,0.6,0.6,330.0,1.7999999999999998,7.199999999999999
purchase_maintenance_1.10_0.70,购置价×维护价,1.1,0.7,0.7,330.0,2.0999999999999996,8.399999999999999
purchase_maintenance_1.10_0.80,购置价×维护价,1.1,0.8,0.8,330.0,2.4000000000000004,9.600000000000001
purchase_maintenance_1.10_0.90,购置价×维护价,1.1,0.9,0.9,330.0,2.7,10.8
purchase_maintenance_1.10_1.00,购置价×维护价,1.1,1.0,1.0,330.0,3.0,12.0
purchase_maintenance_1.10_1.10,购置价×维护价,1.1,1.1,1.1,330.0,3.3000000000000003,13.200000000000001
purchase_maintenance_1.10_1.20,购置价×维护价,1.1,1.2,1.2,330.0,3.5999999999999996,14.399999999999999
purchase_maintenance_1.10_1.30,购置价×维护价,1.1,1.3,1.3,330.0,3.9000000000000004,15.600000000000001
purchase_maintenance_1.10_1.40,购置价×维护价,1.1,1.4,1.4,330.0,4.199999999999999,16.799999999999997
purchase_maintenance_1.10_1.50,购置价×维护价,1.1,1.5,1.5,330.0,4.5,18.0
purchase_maintenance_1.20_0.50,购置价×维护价,1.2,0.5,0.5,360.0,1.5,6.0
purchase_maintenance_1.20_0.60,购置价×维护价,1.2,0.6,0.6,360.0,1.7999999999999998,7.199999999999999
purchase_maintenance_1.20_0.70,购置价×维护价,1.2,0.7,0.7,360.0,2.0999999999999996,8.399999999999999
purchase_maintenance_1.20_0.80,购置价×维护价,1.2,0.8,0.8,360.0,2.4000000000000004,9.600000000000001
purchase_maintenance_1.20_0.90,购置价×维护价,1.2,0.9,0.9,360.0,2.7,10.8
purchase_maintenance_1.20_1.00,购置价×维护价,1.2,1.0,1.0,360.0,3.0,12.0
purchase_maintenance_1.20_1.10,购置价×维护价,1.2,1.1,1.1,360.0,3.3000000000000003,13.200000000000001
purchase_maintenance_1.20_1.20,购置价×维护价,1.2,1.2,1.2,360.0,3.5999999999999996,14.399999999999999
purchase_maintenance_1.20_1.30,购置价×维护价,1.2,1.3,1.3,360.0,3.9000000000000004,15.600000000000001
purchase_maintenance_1.20_1.40,购置价×维护价,1.2,1.4,1.4,360.0,4.199999999999999,16.799999999999997
purchase_maintenance_1.20_1.50,购置价×维护价,1.2,1.5,1.5,360.0,4.5,18.0
purchase_maintenance_1.30_0.50,购置价×维护价,1.3,0.5,0.5,390.0,1.5,6.0
purchase_maintenance_1.30_0.60,购置价×维护价,1.3,0.6,0.6,390.0,1.7999999999999998,7.199999999999999
purchase_maintenance_1.30_0.70,购置价×维护价,1.3,0.7,0.7,390.0,2.0999999999999996,8.399999999999999
purchase_maintenance_1.30_0.80,购置价×维护价,1.3,0.8,0.8,390.0,2.4000000000000004,9.600000000000001
purchase_maintenance_1.30_0.90,购置价×维护价,1.3,0.9,0.9,390.0,2.7,10.8
purchase_maintenance_1.30_1.00,购置价×维护价,1.3,1.0,1.0,390.0,3.0,12.0
purchase_maintenance_1.30_1.10,购置价×维护价,1.3,1.1,1.1,390.0,3.3000000000000003,13.200000000000001
purchase_maintenance_1.30_1.20,购置价×维护价,1.3,1.2,1.2,390.0,3.5999999999999996,14.399999999999999
purchase_maintenance_1.30_1.30,购置价×维护价,1.3,1.3,1.3,390.0,3.9000000000000004,15.600000000000001
purchase_maintenance_1.30_1.40,购置价×维护价,1.3,1.4,1.4,390.0,4.199999999999999,16.799999999999997
purchase_maintenance_1.30_1.50,购置价×维护价,1.3,1.5,1.5,390.0,4.5,18.0
purchase_maintenance_1.40_0.50,购置价×维护价,1.4,0.5,0.5,420.0,1.5,6.0
purchase_maintenance_1.40_0.60,购置价×维护价,1.4,0.6,0.6,420.0,1.7999999999999998,7.199999999999999
purchase_maintenance_1.40_0.70,购置价×维护价,1.4,0.7,0.7,420.0,2.0999999999999996,8.399999999999999
purchase_maintenance_1.40_0.80,购置价×维护价,1.4,0.8,0.8,420.0,2.4000000000000004,9.600000000000001
purchase_maintenance_1.40_0.90,购置价×维护价,1.4,0.9,0.9,420.0,2.7,10.8
purchase_maintenance_1.40_1.00,购置价×维护价,1.4,1.0,1.0,420.0,3.0,12.0
purchase_maintenance_1.40_1.10,购置价×维护价,1.4,1.1,1.1,420.0,3.3000000000000003,13.200000000000001
purchase_maintenance_1.40_1.20,购置价×维护价,1.4,1.2,1.2,420.0,3.5999999999999996,14.399999999999999
purchase_maintenance_1.40_1.30,购置价×维护价,1.4,1.3,1.3,420.0,3.9000000000000004,15.600000000000001
purchase_maintenance_1.40_1.40,购置价×维护价,1.4,1.4,1.4,420.0,4.199999999999999,16.799999999999997
purchase_maintenance_1.40_1.50,购置价×维护价,1.4,1.5,1.5,420.0,4.5,18.0
purchase_maintenance_1.50_0.50,购置价×维护价,1.5,0.5,0.5,450.0,1.5,6.0
purchase_maintenance_1.50_0.60,购置价×维护价,1.5,0.6,0.6,450.0,1.7999999999999998,7.199999999999999
purchase_maintenance_1.50_0.70,购置价×维护价,1.5,0.7,0.7,450.0,2.0999999999999996,8.399999999999999
purchase_maintenance_1.50_0.80,购置价×维护价,1.5,0.8,0.8,450.0,2.4000000000000004,9.600000000000001
purchase_maintenance_1.50_0.90,购置价×维护价,1.5,0.9,0.9,450.0,2.7,10.8
purchase_maintenance_1.50_1.00,购置价×维护价,1.5,1.0,1.0,450.0,3.0,12.0
purchase_maintenance_1.50_1.10,购置价×维护价,1.5,1.1,1.1,450.0,3.3000000000000003,13.200000000000001
purchase_maintenance_1.50_1.20,购置价×维护价,1.5,1.2,1.2,450.0,3.5999999999999996,14.399999999999999
purchase_maintenance_1.50_1.30,购置价×维护价,1.5,1.3,1.3,450.0,3.9000000000000004,15.600000000000001
purchase_maintenance_1.50_1.40,购置价×维护价,1.5,1.4,1.4,450.0,4.199999999999999,16.799999999999997
purchase_maintenance_1.50_1.50,购置价×维护价,1.5,1.5,1.5,450.0,4.5,18.0
medium_major_0.50_0.50,中维护价×大维护价,1.0,0.5,0.5,300.0,1.5,6.0
medium_major_0.50_0.60,中维护价×大维护价,1.0,0.5,0.6,300.0,1.5,7.199999999999999
medium_major_0.50_0.70,中维护价×大维护价,1.0,0.5,0.7,300.0,1.5,8.399999999999999
medium_major_0.50_0.80,中维护价×大维护价,1.0,0.5,0.8,300.0,1.5,9.600000000000001
medium_major_0.50_0.90,中维护价×大维护价,1.0,0.5,0.9,300.0,1.5,10.8
medium_major_0.50_1.00,中维护价×大维护价,1.0,0.5,1.0,300.0,1.5,12.0
medium_major_0.50_1.10,中维护价×大维护价,1.0,0.5,1.1,300.0,1.5,13.200000000000001
medium_major_0.50_1.20,中维护价×大维护价,1.0,0.5,1.2,300.0,1.5,14.399999999999999
medium_major_0.50_1.30,中维护价×大维护价,1.0,0.5,1.3,300.0,1.5,15.600000000000001
medium_major_0.50_1.40,中维护价×大维护价,1.0,0.5,1.4,300.0,1.5,16.799999999999997
medium_major_0.50_1.50,中维护价×大维护价,1.0,0.5,1.5,300.0,1.5,18.0
medium_major_0.60_0.50,中维护价×大维护价,1.0,0.6,0.5,300.0,1.7999999999999998,6.0
medium_major_0.60_0.60,中维护价×大维护价,1.0,0.6,0.6,300.0,1.7999999999999998,7.199999999999999
medium_major_0.60_0.70,中维护价×大维护价,1.0,0.6,0.7,300.0,1.7999999999999998,8.399999999999999
medium_major_0.60_0.80,中维护价×大维护价,1.0,0.6,0.8,300.0,1.7999999999999998,9.600000000000001
medium_major_0.60_0.90,中维护价×大维护价,1.0,0.6,0.9,300.0,1.7999999999999998,10.8
medium_major_0.60_1.00,中维护价×大维护价,1.0,0.6,1.0,300.0,1.7999999999999998,12.0
medium_major_0.60_1.10,中维护价×大维护价,1.0,0.6,1.1,300.0,1.7999999999999998,13.200000000000001
medium_major_0.60_1.20,中维护价×大维护价,1.0,0.6,1.2,300.0,1.7999999999999998,14.399999999999999
medium_major_0.60_1.30,中维护价×大维护价,1.0,0.6,1.3,300.0,1.7999999999999998,15.600000000000001
medium_major_0.60_1.40,中维护价×大维护价,1.0,0.6,1.4,300.0,1.7999999999999998,16.799999999999997
medium_major_0.60_1.50,中维护价×大维护价,1.0,0.6,1.5,300.0,1.7999999999999998,18.0
medium_major_0.70_0.50,中维护价×大维护价,1.0,0.7,0.5,300.0,2.0999999999999996,6.0
medium_major_0.70_0.60,中维护价×大维护价,1.0,0.7,0.6,300.0,2.0999999999999996,7.199999999999999
medium_major_0.70_0.70,中维护价×大维护价,1.0,0.7,0.7,300.0,2.0999999999999996,8.399999999999999
medium_major_0.70_0.80,中维护价×大维护价,1.0,0.7,0.8,300.0,2.0999999999999996,9.600000000000001
medium_major_0.70_0.90,中维护价×大维护价,1.0,0.7,0.9,300.0,2.0999999999999996,10.8
medium_major_0.70_1.00,中维护价×大维护价,1.0,0.7,1.0,300.0,2.0999999999999996,12.0
medium_major_0.70_1.10,中维护价×大维护价,1.0,0.7,1.1,300.0,2.0999999999999996,13.200000000000001
medium_major_0.70_1.20,中维护价×大维护价,1.0,0.7,1.2,300.0,2.0999999999999996,14.399999999999999
medium_major_0.70_1.30,中维护价×大维护价,1.0,0.7,1.3,300.0,2.0999999999999996,15.600000000000001
medium_major_0.70_1.40,中维护价×大维护价,1.0,0.7,1.4,300.0,2.0999999999999996,16.799999999999997
medium_major_0.70_1.50,中维护价×大维护价,1.0,0.7,1.5,300.0,2.0999999999999996,18.0
medium_major_0.80_0.50,中维护价×大维护价,1.0,0.8,0.5,300.0,2.4000000000000004,6.0
medium_major_0.80_0.60,中维护价×大维护价,1.0,0.8,0.6,300.0,2.4000000000000004,7.199999999999999
medium_major_0.80_0.70,中维护价×大维护价,1.0,0.8,0.7,300.0,2.4000000000000004,8.399999999999999
medium_major_0.80_0.80,中维护价×大维护价,1.0,0.8,0.8,300.0,2.4000000000000004,9.600000000000001
medium_major_0.80_0.90,中维护价×大维护价,1.0,0.8,0.9,300.0,2.4000000000000004,10.8
medium_major_0.80_1.00,中维护价×大维护价,1.0,0.8,1.0,300.0,2.4000000000000004,12.0
medium_major_0.80_1.10,中维护价×大维护价,1.0,0.8,1.1,300.0,2.4000000000000004,13.200000000000001
medium_major_0.80_1.20,中维护价×大维护价,1.0,0.8,1.2,300.0,2.4000000000000004,14.399999999999999
medium_major_0.80_1.30,中维护价×大维护价,1.0,0.8,1.3,300.0,2.4000000000000004,15.600000000000001
medium_major_0.80_1.40,中维护价×大维护价,1.0,0.8,1.4,300.0,2.4000000000000004,16.799999999999997
medium_major_0.80_1.50,中维护价×大维护价,1.0,0.8,1.5,300.0,2.4000000000000004,18.0
medium_major_0.90_0.50,中维护价×大维护价,1.0,0.9,0.5,300.0,2.7,6.0
medium_major_0.90_0.60,中维护价×大维护价,1.0,0.9,0.6,300.0,2.7,7.199999999999999
medium_major_0.90_0.70,中维护价×大维护价,1.0,0.9,0.7,300.0,2.7,8.399999999999999
medium_major_0.90_0.80,中维护价×大维护价,1.0,0.9,0.8,300.0,2.7,9.600000000000001
medium_major_0.90_0.90,中维护价×大维护价,1.0,0.9,0.9,300.0,2.7,10.8
medium_major_0.90_1.00,中维护价×大维护价,1.0,0.9,1.0,300.0,2.7,12.0
medium_major_0.90_1.10,中维护价×大维护价,1.0,0.9,1.1,300.0,2.7,13.200000000000001
medium_major_0.90_1.20,中维护价×大维护价,1.0,0.9,1.2,300.0,2.7,14.399999999999999
medium_major_0.90_1.30,中维护价×大维护价,1.0,0.9,1.3,300.0,2.7,15.600000000000001
medium_major_0.90_1.40,中维护价×大维护价,1.0,0.9,1.4,300.0,2.7,16.799999999999997
medium_major_0.90_1.50,中维护价×大维护价,1.0,0.9,1.5,300.0,2.7,18.0
medium_major_1.00_0.50,中维护价×大维护价,1.0,1.0,0.5,300.0,3.0,6.0
medium_major_1.00_0.60,中维护价×大维护价,1.0,1.0,0.6,300.0,3.0,7.199999999999999
medium_major_1.00_0.70,中维护价×大维护价,1.0,1.0,0.7,300.0,3.0,8.399999999999999
medium_major_1.00_0.80,中维护价×大维护价,1.0,1.0,0.8,300.0,3.0,9.600000000000001
medium_major_1.00_0.90,中维护价×大维护价,1.0,1.0,0.9,300.0,3.0,10.8
medium_major_1.00_1.00,中维护价×大维护价,1.0,1.0,1.0,300.0,3.0,12.0
medium_major_1.00_1.10,中维护价×大维护价,1.0,1.0,1.1,300.0,3.0,13.200000000000001
medium_major_1.00_1.20,中维护价×大维护价,1.0,1.0,1.2,300.0,3.0,14.399999999999999
medium_major_1.00_1.30,中维护价×大维护价,1.0,1.0,1.3,300.0,3.0,15.600000000000001
medium_major_1.00_1.40,中维护价×大维护价,1.0,1.0,1.4,300.0,3.0,16.799999999999997
medium_major_1.00_1.50,中维护价×大维护价,1.0,1.0,1.5,300.0,3.0,18.0
medium_major_1.10_0.50,中维护价×大维护价,1.0,1.1,0.5,300.0,3.3000000000000003,6.0
medium_major_1.10_0.60,中维护价×大维护价,1.0,1.1,0.6,300.0,3.3000000000000003,7.199999999999999
