scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost,device,optimal_candidate_id,optimal_family,optimal_policy_label,optimal_annual_cost,original_candidate_id,original_annual_cost,absolute_regret,relative_regret,replacement_rate_per_year,medium_maintenances_per_year,major_maintenances_per_year,median_lifetime_days,eol_within_2y_probability
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A9,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,48.5853958346522,S33,49.75334052262356,1.1679446879713566,0.02403900735822249,0.1051012597763595,9.854819622930346,0.06621379365910647,3487.0,0.005
medium_0.55,中维护价单因素,1.0,0.55,1.0,300.0,1.6500000000000001,12.0,A10,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,369.5171266102734,S29,369.5171266102734,0.0,0.0,1.1792528976850805,9.540155942272301,0.0,308.0,1.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A1,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,80.34726819222344,S32,80.34726819222344,0.0,0.0,0.19978831463992977,6.783812223598816,0.00899047415879684,1785.0,0.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A2,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,188.74815269163798,S29,188.74815269163798,0.0,0.0,0.5255925057200005,9.98100168362281,0.1708175643590002,681.0,0.66
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A3,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,69.20397190049492,S32,69.20397190049492,0.0,0.0,0.17037424025450018,5.916245492837518,0.05196414327762255,2093.0,0.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A4,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,67.96026551628294,S32,67.96026551628294,0.0,0.0,0.1706189696529463,5.484546779493959,0.048626406351089696,2060.0,0.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A5,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,203.5997921217079,S32,203.5997921217079,0.0,0.0,0.6160449995361742,6.262097420285212,0.0,576.0,0.92
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A6,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,90.59403547364313,S32,90.59847407770559,0.00443860406245733,4.8994440298982704e-05,0.2356200791528644,6.353495434356988,0.1284129431383111,1491.0,0.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A7,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,120.05849098996961,S29,120.05849098996961,0.0,0.0,0.30115887418938586,9.737972196913791,0.07528971854734647,1262.0,0.005
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A8,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,221.42254449831105,S29,221.42254449831105,0.0,0.0,0.6392530234349021,9.678290774804417,0.0926916883980608,557.0,0.945
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A9,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,54.207578429024714,S33,54.36252071650737,0.1549422874826547,0.00285831413195342,0.10933664611147696,5.846230467580674,0.5860444231575166,3271.0,0.0
major_0.55,大维护价单因素,1.0,1.0,0.55,300.0,3.0,6.6000000000000005,A10,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,382.39633713234105,S29,382.39633713234105,0.0,0.0,1.1792528976850805,9.540155942272301,0.0,308.0,1.0
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,A1,S36,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却21日,56.37715800569578,S32,56.42121899588937,0.04406099019358578,0.0007815397539041308,0.2187577673231895,5.6319187197355145,0.00875031069292758,1637.0,0.0
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,A2,S29,状态触发,堵塞损失≥10触发，维护后储备阈值50，冷却35日,126.59946685277653,S29,126.59946685277653,0.0,0.0,0.5255925057200005,9.98100168362281,0.1708175643590002,681.0,0.66
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,A3,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,49.03966944365406,S32,49.03966944365406,0.0,0.0,0.17037424025450018,5.916245492837518,0.05196414327762255,2093.0,0.0
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,A4,S36,状态触发,堵塞损失≥30触发，维护后储备阈值50，冷却21日,46.79225468694377,S32,47.74857175222528,0.9563170652815103,0.020437507696083452,0.1818516757488779,4.4244512709701995,0.06546660326959604,2002.0,0.0
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,A5,S32,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却21日,129.674392177367,S32,129.674392177367,0.0,0.0,0.6160449995361742,6.262097420285212,0.0,576.0,0.92
purchase_0.60,购置价单因素,0.6,1.0,1.0,180.0,3.0,12.0,A6,S33,状态触发,堵塞损失≥20触发，维护后储备阈值50，冷却35日,63.01305586824629,S32,63.01829510195392,0.005239233707627022,8.314520912272073e-05,0.2356200791528644,6.353495434356988,0.1284129431383111,1491.0,0.0
